Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
ADA, ADA, Cardano native currency, Cardano,6
ALGO, ALGO, Algorand native currency, Algorand,6
AVAX, AVAX, Avalanche, Avalanche,18
BTC, BTC, Bitcoin. The first and the only., Bitcoin,8
DOGE, DOGE, Elon’s favorite Dog., Dogecoin,8
NEAR, NEAR, Near native currency, Near Blockchain,24
DOT, DOT, Polkadot native currency, Polkadot,10
CFG, CFG, Centrifuge native currency, Centrifuge,18
ETH, ETH, Ethereum, Ethereum,18
EGLD, EGLD, Elrond, Elrond,18
FTM, FTM, Fantom, Fantom,18
OP, OP, Optimism, Optimism,18
sFUEL, sFUEL, Skale, Skale,18
ARB, ARB, Arbitrum, Arbitrum,18
LTC, LTC, Lite Coin native currency, Litecoin,8
KSM, KSM, Kusama – Polkadot’s Canary network, Kusama,12
TRX, TRX, Tron native currency, Tron,6
XLM, XLM, Stellar native coin., Stellar,7
XRP, XRP, Ripple., Ripple,6
ATOM, ATOM, Cosmos., Cosmos,6
MATIC, MATIC, Polygon, Polygon,18
XTZ, XTZ, Tezos native currency, Tezos,6
SOL, SOL, Solana, Solana,9
POLYX, POLYX, Polymesh, Polymesh,0
EUR, EUR, Euro, Euro,2
USD, USD, US Dollar, US Dollar,2
GBP, GBP, Pound sterling, Pound sterling,2
CHF, CHF, Swiss franc, Swiss franc,2
BNB, BNB, Binance Coin, Binance Coin,18
EURL_XTZ, EURL.XTZ, EURL token tezos,EURL token tezos,6
DFNS_POLYX, DFNS.POLYX, Dfns token, Dfns token,0
WAVAX_AVAX, WAVAX.AVAX, Wrapped AVAX, Wrapped AVAX,18
UNI_ETH, UNI.ETH, UniSwap token, Uniswap,18
AAVE_MATIC,AAVE.MATIC,Aave,Aave,18
AMP_MATIC,AMP.MATIC,Amp,Amp,18
BAL_MATIC,BAL.MATIC,Balancer,Balancer,18
BAND_MATIC,BAND.MATIC,Band Protocol,Band Protocol,18
BNT_MATIC,BNT.MATIC,Bancor Network Token,Bancor Network Token,18
COMP_MATIC,COMP.MATIC,Compound,Compound,18
CRV_MATIC,CRV.MATIC,Curve DAO Token,Curve DAO Token,18
CVC_MATIC,CVC.MATIC,Civic,Civic,8
DAI_MATIC,DAI.MATIC,Dai Stablecoin,Dai Stablecoin,18
ENS_MATIC,ENS.MATIC,Ethereum Name Service,Ethereum Name Service,18
GNO_MATIC,GNO.MATIC,Gnosis Token,Gnosis Token,18
GRT_MATIC,GRT.MATIC,The Graph,The Graph,18
KEEP_MATIC,KEEP.MATIC,Keep Network,Keep Network,18
KNC_MATIC,KNC.MATIC,Kyber Network Crystal,Kyber Network Crystal,18
LINK_MATIC,LINK.MATIC,ChainLink Token,ChainLink Token,18
LOOM_MATIC,LOOM.MATIC,Loom Network,Loom Network,18
LRC_MATIC,LRC.MATIC,LoopringCoin V2,LoopringCoin V2,18
MANA_MATIC,MANA.MATIC,Decentraland,Decentraland,18
MKR_MATIC,MKR.MATIC,Maker,Maker,18
NMR_MATIC,NMR.MATIC,Numeraire,Numeraire,18
OXT_MATIC,OXT.MATIC,Orchid,Orchid,18
REN_MATIC,REN.MATIC,Republic Token,Republic Token,18
REPv2_MATIC,REPv2.MATIC,Reputation Augur v2,Reputation Augur v2,18
SNX_MATIC,SNX.MATIC,Synthetix Network Token,Synthetix Network Token,18
STORJ_MATIC,STORJ.MATIC,Storj Token,Storj Token,8
sUSD_MATIC,sUSD.MATIC,Synth sUSD,Synth sUSD,18
TBTC_MATIC,TBTC.MATIC,tBTC,tBTC,18
UMA_MATIC,UMA.MATIC,UMA Voting Token v1,UMA Voting Token v1,18
UNI_MATIC,UNI.MATIC,Uniswap,Uniswap,18
USDC_MATIC,USDC.MATIC,USDCoin,USDCoin,6
USDT_MATIC,USDT.MATIC,Tether USD,Tether USD,6
WBTC_MATIC,WBTC.MATIC,Wrapped BTC,Wrapped BTC,8
WETH_MATIC,WETH.MATIC,Wrapped Ether,Wrapped Ether,18
WMATIC_MATIC,WMATIC.MATIC,Wrapped Matic,Wrapped Matic,18
YFI_MATIC,YFI.MATIC,yearn finance,yearn finance,18
ZRX_MATIC,ZRX.MATIC,0x Protocol Token,0x Protocol Token,18
300_BNB,300.BNB,Spartan,Spartan,7
867_BNB,867.BNB,867,867,9
CAKE_BNB,CAKE.BNB,PancakeSwap,PancakeSwap,18
